id	nombre	pais  	Departamento	municipio	latitud	longitud	fecha_inicial	localidad
22	NA_NA	CO	La Guajira	NA	12.2	-72.1333	NA	Cabo de la Vela
25	Spathochlamys_benedicti	CO	La Guajira	NA	12.2075	-72.17278	NA	"Guajira Peninsula, off Cabo la Vela, 40 m, dredged alive"
30	Sideroxylon_obtusifolium	CO	La Guajira	Uribia	12.13	-72.03	NA	"Municipio Uribia: Carretera Puerto Bolivar-Cabo de la Vela, km 4."
31	NA_NA	CO	La Guajira	Uribia	12.13	-72.03	NA	NA
33	NA_NA	CO	La Guajira	Uribia	12.17	-72.05	NA	"Carretera Puerto Bolívar-Cabo de la Vela, Km. 15."
59	Scorpaena_isthmensis	CO	NA	NA	12.2097225	-72.17917	NA	1 miles southwest of Cape La Vela
60	NA_NA	CO	NA	NA	12.2097225	-72.17917	NA	1 mile southwest off Cape la Vela
73	Serranus_atrobranchus	CO	NA	NA	12.2097225	-72.17917	NA	1 miles southwest of Cape La Vela
94	Thyroscyphus_marginatus	CO	NA	NA	12.166667	-72.11667	NA	"Kolumbien, Guajira, Choco-Expedition"
301	Glossophaga_longirostris	CO	NA	NA	12.02288	-72.15	NA	"LA GUAJIRA, 3 KM S"
302	Glossophaga_longirostris	CO	NA	NA	12.02288	-72.15	NA	"LA GUAJIRA, 3 KM S"
303	Micronycteris_megalotis	CO	NA	NA	12.05	-72.15	NA	LAS ARENAS
304	Micronycteris_megalotis	CO	NA	NA	12.05	-72.15	NA	LAS ARENAS
507	NA_NA	CO	LA GUAJIRA	URIBIA	12.1333	-72.0333	NA	"Carretera Puerto Bolivar-Cabo de La Vela, Km. 4."
508	NA_NA	CO	LA GUAJIRA	URIBIA	12.1667	-72.05	NA	Carretera Puerto Bolivar-Cabo de la Vela. Km 15.
509	Sideroxylon_obtusifolium	CO	NA	NA	12.133333	-72.03333	NA	Uribia
510	Caulerpa_prolifera	CO	NA	NA	12.2097225	-72.17917	NA	Cape la Vela
511	Botryocladia_botryoides	CO	La Guajira Department	NA	12.2097225	-72.17917	NA	"Peninsula de la Guajira, near Cabo de la Vela"
512	Caulerpa_mexicana	CO	NA	NA	12.2097225	-72.17917	NA	Near Cape la Vela
513	Codium_isthmocladum	CO	NA	NA	12.2097225	-72.17917	NA	Cape la Vela
608	Astropecten_duplicatus	CO	Guajira	NA	12.2	-72.1	NA	Guajira Peninsula
621	Achelous_spinimanus	CO	NA	NA	12.2	-72.1	NA	Off Cabo De La Vela
630	Eurycyde_curvata	CO	NA	NA	12.209722	-72.17917	NA	S Of Colombia
645	Meiosquilla_schmitti	CO	NA	NA	12.209722	-72.17917	NA	S Of Cape La Vela
668	Argopecten_lineolaris	CO	Guajira	NA	12.2	-72.1	NA	"Guajira Peninsula, W Of Peninsula"
687	Scyllarus_chacei	CO	NA	NA	12.209722	-72.179	NA	SW Of Cabo De La Vela
699	NA_NA	CO	NA	NA	12.2	-72.1	NA	N Of Cabo De La Vela
721	Rimapenaeus_similis	CO	NA	NA	12.2	-72.1	NA	Off Cabo De La Vela
726	Conus_austini	CO	NA	NA	12.2	-72.1	NA	NW  Of Carrizal
746	Anoplodactylus_insignis	CO	NA	NA	12.209722	-72.17917	NA	S Of Cape La Vela
751	Conus_austini	CO	NA	NA	12.2	-72.1	NA	"NW, Off Carrizal"
766	Brissopsis_elongata	CO	NA	NA	12.2	-72.1	NA	NA
783	Argopecten_lineolaris	CO	Guajira	NA	12.2	-72.1	NA	"Guajira Peninsula, N Of Peninsula"
793	Narcissia_trigonaria	CO	NA	NA	12.2	-72.1	NA	NA
808	NA_NA	CO	NA	NA	12.2	-72.1	NA	5 Mile N Of Carrizal
810	Pallenopsis_schmitti	CO	NA	NA	12.209722	-72.17917	NA	S Of Cape La Vela
828	Bigelowina_biminiensis	CO	NA	NA	12.209722	-72.17917	NA	"Cape La Vela, S Of Cape La Vela"
837	Farfantepenaeus_notialis	CO	NA	NA	12.2	-72.1	NA	Off Cabo De La Vela
897	Tringa_melanoleuca	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
898	Burhinus_bistriatus	CO	La Guajira	NA	12.252198	-71.97195	NA	Lagunas de Oxidación Puerto Bolivar
899	Egretta_thula	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
900	Actitis_macularius	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
901	Phalacrocorax_brasilianus	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
902	Pandion_haliaetus	CO	La Guajira	NA	12.252198	-71.97195	NA	Lagunas de Oxidación Puerto Bolivar
903	Calidris_himantopus	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
904	Arenaria_interpres	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
905	Actitis_macularius	CO	La Guajira	NA	12.252198	-71.97195	NA	Lagunas de Oxidación Puerto Bolivar
906	Egretta_thula	CO	La Guajira	NA	12.252198	-71.97195	NA	Lagunas de Oxidación Puerto Bolivar
907	Nycticorax_nycticorax	CO	La Guajira	NA	12.253205	-71.972466	NA	Lagunas de Oxidación Puerto Bolivar
908	Arenaria_interpres	CO	La Guajira	NA	12.252198	-71.97195	NA	Lagunas de Oxidación Puerto Bolivar
776897	NA_NA	BR	Amazonas	NA	1.12	-69.42	NA	"Fronteira de Rbasil e Colombia , Municipio de Fronteira de Brasil e Colombia, Municipio do Novo Japura, confluencia dos rios Traira e Apaporis, proximo a cachoeira Urumutum. Mata de beira d erio, solo argiloso."
776898	Miconia_truncata	BR	Amazonas	NA	1.23	-69.42	NA	"Municipio de Novo japura, Vila Bittencourt, rio Apaporis, margem esquerda, igarape preguica, proximo ao Beque de Infantaria. Mata de igapo, solo argilo-arenoso."
776901	Miconia_splendens	BR	Amazonas	NA	1.32	-69.3	NA	"Rio Solimoes and Rio Javari. Cachoeira Seringal, Rio Javari. Varzea forest."
776903	Ossaea_cucullata	BR	Amazonas	NA	1.42	-69.42	NA	"Vila Bittencourt, rio Japurá, margem direita, localidade denominadaSerrinha,. Mata de terra firme, umaelevacáo , solo pedregoso recoberto de liquens e musgos."
776904	Micrandra_siphonioides	BR	NA	NA	1.23	-69.42	NA	"Fronteira de Brasil e Colombia, Municipio de Novo Japura, Vila Bittencourt, RioApaporis, margem esquerda, igarape Preguica, proximo ao BEque de Infantaria. Mata de igapo, solo argilo-arenoso."
776905	Eugenia_florida	BR	Amazonas	NA	1.25	-69.42	NA	"Fronteira de Brasil e Colombia, Municipio d eNovo Japura, Vila Bittencourt, ao longo do rio, confluencia dos rios Japura e Apaporis acima do terceiro Batalhao de iNfantaria. Mata de varzea, solo argilo arenoso."
776906	Micrandra_siphonioides	BR	NA	NA	1.42	-69.42	NA	"Fronteira de brasil e Colombia, Municipio de Novo Japurá, Vila Bittenocurt, alto rio Japura afluente do rio Solimoes, terceiro Batalhao de infantaria. Mata de varzea, solo argilo-arenoso."
776907	Cauloramphus_cymbaeformis	BR	NA	NA	1.6	-68.2	NA	NA
776908	NA_NA	BR	NA	NA	1.37	-68.6	NA	"Hylaea, Rio Aiary, Maloka"
776909	Bactris_simplicifrons	BR	Amazonas	NA	1.3	-68.65	NA	"Rio Uaupés, Ipanoré (= Panuré). Disturbed caatinga."
